post_title,post_content,price,discount_price,discount_percentage,description,destination,duration,max_people,min_age,includes,itinerary,departure_date,available_spots,thumbnail_url,gallery_url_1,gallery_url_2,gallery_url_3
Snorkeling en Los Roques,"Descubre el paraíso submarino del Archipiélago Los Roques, uno de los destinos de snorkeling más espectaculares del Caribe. Explora arrecifes de coral vibrantes, nada junto a tortugas marinas y peces tropicales en aguas cristalinas.",85,68,20,"Experiencia de snorkeling en Los Roques con visita a múltiples cayos, incluyendo equipo completo y guía certificado. Disfruta de las aguas más cristalinas de Venezuela.","Los Roques, Dependencias Federales","8 horas",12,10,"Equipo de snorkeling completo|Transporte en lancha|Almuerzo en cayo|Guía certificado|Seguro de accidentes","Salida desde Gran Roque 8:00 AM|Snorkeling en Cayo Francisquí|Almuerzo en Cayo Madrisquí|Snorkeling en Crasquí|Regreso 4:00 PM",2025-11-15,8,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1583212292454-1fe6229603b7?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1582967788606-a171c1080cb0?w=800&h=600&fit=crop
Parapente en Mérida,"Vuela como un águila sobre la majestuosa Cordillera de los Andes. Experimenta la adrenalina del vuelo libre mientras disfrutas de vistas panorámicas de picos nevados, valles verdes y pueblos andinos.",95,76,20,"Vuelo en parapente biplaza con instructores certificados internacionalmente. Incluye video de tu vuelo y todas las medidas de seguridad.",Mérida,3 horas,6,12,"Vuelo en parapente biplaza|Instructor certificado|Equipo de seguridad completo|Video del vuelo|Transporte al punto de despegue","Traslado al sitio de despegue|Briefing de seguridad|Vuelo de 15-20 minutos|Aterrizaje en zona segura|Entrega de video",2025-11-20,4,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1522163182402-834f871fd851?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1454496522488-7a8e488e8606?w=800&h=600&fit=crop
Expedición Salto Ángel,"Vive la aventura de tu vida visitando la cascada más alta del mundo: el Salto Ángel (979 metros). Expedición de 3 días incluyendo navegación en curiara, caminatas en la selva y convivencia con comunidades Pemón.",450,360,20,"Expedición completa de 3 días y 2 noches al Salto Ángel con guías indígenas Pemón. Incluye todas las comidas, campamento y transporte desde Canaima.","Parque Nacional Canaima, Bolívar","3 días / 2 noches",15,14,"Todas las comidas|Campamento completo|Guías Pemón certificados|Transporte en curiara|Vuelo Canaima-Salto Ángel|Seguro de viaje","Día 1: Vuelo a Canaima, navegación río arriba|Día 2: Trekking al mirador del Salto Ángel|Día 3: Regreso a Canaima, vuelo de retorno",2025-11-25,10,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1586447677411-611b83e30f8a?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1551632811-561732d1e306?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1542224566-6e85f2e6772f?w=800&h=600&fit=crop
Buceo PADI en Margarita,"Sumérgete en las aguas del Caribe venezolano y obtén tu certificación PADI Open Water Diver. Curso completo de 3 días con inmersiones en los mejores sitios de buceo de Isla de Margarita.",280,224,20,"Curso de certificación PADI Open Water Diver con instructor certificado. Incluye todo el equipo, material didáctico y certificación internacional.","Isla de Margarita, Nueva Esparta","3 días",8,15,"Material didáctico PADI|Equipo de buceo completo|4 inmersiones en mar abierto|Certificación internacional|Instructor certificado PADI","Día 1: Teoría y piscina|Día 2: Primera y segunda inmersión en mar|Día 3: Tercera y cuarta inmersión, certificación",2025-12-01,6,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1583212292454-1fe6229603b7?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1682687220742-aba13b6e50ba?w=800&h=600&fit=crop
Tour Cayos de Morrocoy,"Explora los cayos paradisíacos del Parque Nacional Morrocoy. Arena blanca, aguas turquesas y manglares. Visita Cayo Sombrero, Cayo Muerto y Cayo Peraza en un día inolvidable.",65,52,20,"Tour en lancha por los cayos más hermosos de Morrocoy. Incluye snorkeling, almuerzo playero y tiempo libre para disfrutar de las playas.","Parque Nacional Morrocoy, Falcón",8 horas,20,8,"Transporte en lancha|Equipo de snorkeling|Almuerzo criollo|Guía turístico|Chalecos salvavidas","Salida desde Tucacas 9:00 AM|Cayo Sombrero (playa y snorkeling)|Almuerzo en Cayo Muerto|Cayo Peraza (manglares)|Regreso 5:00 PM",2025-11-18,15,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1571781418606-70265b9cce90?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1505142468610-359e7d316be0?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&h=600&fit=crop
Trekking Monte Roraima,"Conquista el imponente Monte Roraima, una de las formaciones geológicas más antiguas del planeta. Trekking de 6 días por la Gran Sabana hasta la cima del tepuy.",520,416,20,"Expedición guiada de 6 días al Monte Roraima con guías indígenas. Acampa en la cumbre del tepuy y descubre paisajes surrealistas.","Monte Roraima, Bolívar","6 días / 5 noches",12,16,"Todas las comidas|Equipo de campamento|Guías indígenas certificados|Porteadores|Transporte Santa Elena-Paraitepuy|Permiso de entrada","Día 1: Paraitepuy - Río Tek|Día 2: Río Tek - Base del Roraima|Día 3: Ascenso a la cumbre|Día 4: Exploración del tepuy|Día 5: Descenso a campamento base|Día 6: Regreso a Paraitepuy",2025-12-05,8,https://images.unsplash.com/photo-1551632811-561732d1e306?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1454496522488-7a8e488e8606?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800&h=600&fit=crop
Safari Fotográfico Los Llanos,"Aventura fotográfica en los Llanos venezolanos. Avista anacondas, caimanes, capibaras, garzas y más de 300 especies de aves. Safari en 4x4 y paseos en bote.",180,144,20,"Safari de 2 días con guías naturalistas especializados en fauna llanera. Hospedaje en hato tradicional con todas las comidas incluidas.","Los Llanos, Apure","2 días / 1 noche",10,10,"Safari en 4x4|Paseos en bote|Hospedaje en hato|Todas las comidas|Guía naturalista|Observación nocturna","Día 1: Safari diurno, paseo en bote, observación nocturna|Día 2: Safari al amanecer, tour del hato, actividades tradicionales",2025-11-22,8,https://images.unsplash.com/photo-1535083783855-76ae62b2914e?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1564760055775-d63b17a55c44?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1549366021-9f761d450615?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1615963244664-5b845b2f9c0b?w=800&h=600&fit=crop
Rafting en Barinas,"Desciende los rápidos de clase III-IV del río Santo Domingo. Adrenalina pura rodeado de la exuberante selva andina. Ideal para amantes de deportes extremos.",75,60,20,"Rafting profesional con guías certificados y equipo de última generación. Incluye entrenamiento previo y fotos de la aventura.","Río Santo Domingo, Barinas",5 horas,12,14,"Equipo completo de rafting|Guía certificado|Entrenamiento previo|Transporte al río|Snack y bebidas|Fotos digitales","Briefing de seguridad|Entrenamiento en tierra|Descenso de rápidos (2 horas)|Almuerzo campestre|Regreso",2025-11-28,10,https://images.unsplash.com/photo-1521133573892-e44906baee46?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600881333168-2ef49b341f30?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1523987355523-c7b5b0dd90a7?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&h=600&fit=crop
Birdwatching Henri Pittier,"Observa más de 500 especies de aves en el parque nacional más antiguo de Venezuela. Perfecto para fotógrafos de naturaleza y ornitólogos.",55,44,20,"Tour de birdwatching con guía ornitólogo certificado. Incluye uso de binoculares profesionales y listado de especies avistadas.","Parque Nacional Henri Pittier, Aragua",6 horas,8,12,"Guía ornitólogo|Binoculares profesionales|Transporte 4x4|Desayuno campestre|Listado de especies|Entrada al parque","Salida 5:00 AM (mejor horario para aves)|Estación biológica Rancho Grande|Recorrido por senderos|Desayuno en la naturaleza|Regreso 11:00 AM",2025-11-30,6,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1552728089-57bdde30beb3?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1444464666168-49d633b86797?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1535083783855-76ae62b2914e?w=800&h=600&fit=crop
Canyoning en Mérida,"Descenso de cascadas y cañones en la Cordillera de los Andes. Rappel, saltos, toboganes naturales y natación en pozas cristalinas. Adrenalina garantizada.",85,68,20,"Canyoning con instructores certificados. Incluye todo el equipo técnico, traje de neopreno y transporte al cañón.","Cañón de La Carbonera, Mérida",6 horas,10,15,"Equipo técnico completo|Traje de neopreno|Instructores certificados|Transporte al cañón|Almuerzo|Fotos de la aventura","Traslado al cañón|Entrenamiento de técnicas de rappel|Descenso de cascadas|Natación en pozas|Almuerzo|Regreso",2025-12-02,8,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1533130061792-64b345e4a833?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800&h=600&fit=crop
Tour Médanos de Coro,"Explora el único desierto de Venezuela. Los Médanos de Coro son dunas de arena que se extienden hasta el mar. Ideal para sandboard y fotografía al atardecer.",45,36,20,"Tour por los Médanos de Coro con actividades de sandboard, paseo en camello y atardecer en las dunas.","Parque Nacional Médanos de Coro, Falcón",5 horas,15,8,"Transporte|Tabla de sandboard|Paseo en camello|Guía turístico|Agua y snacks|Entrada al parque","Llegada a los Médanos 2:00 PM|Paseo en camello|Sandboard en las dunas|Fotografía del atardecer|Regreso a Coro",2025-12-08,12,https://images.unsplash.com/photo-1509316785289-025f5b846b35?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1547036967-23d11aacaee0?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1542224566-6e85f2e6772f?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800&h=600&fit=crop
Kitesurf en El Yaque,"Aprende kitesurf en El Yaque, considerada una de las mejores playas del mundo para este deporte. Vientos constantes y aguas cálidas todo el año.",150,120,20,"Curso de kitesurf de 2 días con instructores IKO certificados. Incluye todo el equipo y certificación internacional.","Playa El Yaque, Isla de Margarita","2 días",6,14,"Equipo completo de kitesurf|Instructor IKO certificado|Chaleco y casco|Radio comunicación|Certificación nivel 1|Seguro","Día 1: Teoría del viento, montaje de equipo, control de la cometa en tierra|Día 2: Body drag, primeros levantamientos, navegación básica",2025-12-10,4,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1537519936061-39c508a6b9ab?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1527004013197-933c4bb611b3?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1505142468610-359e7d316be0?w=800&h=600&fit=crop
Escalada en Roca - Galipán,"Escalada deportiva en las paredes de roca de Galipán, con vistas espectaculares de Caracas y el Mar Caribe. Para principiantes y escaladores experimentados.",70,56,20,"Jornada de escalada con guías certificados UIAGM. Incluye todo el equipo técnico y rutas para todos los niveles.","Galipán, Ávila",6 horas,8,12,"Equipo de escalada completo|Guía UIAGM certificado|Transporte al sector|Almuerzo|Seguro de accidentes","Traslado a Galipán|Briefing de seguridad|Escalada en diferentes rutas|Almuerzo|Últimas vías|Regreso",2025-12-12,6,https://images.unsplash.com/photo-1522163182402-834f871fd851?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1571781418606-70265b9cce90?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1454496522488-7a8e488e8606?w=800&h=600&fit=crop
Kayak en Laguna de Tacarigua,"Rema por los manglares de la Laguna de Tacarigua. Observa aves, delfines y disfruta de playas vírgenes. Ecoturismo en estado puro.",50,40,20,"Tour en kayak con guía naturalista. Incluye equipo completo y visita a playa de Paparo.","Laguna de Tacarigua, Miranda",5 horas,12,10,"Kayak y remo|Chaleco salvavidas|Guía naturalista|Snack y agua|Protector solar biodegradable","Briefing de seguridad|Remada por manglares|Observación de aves|Playa de Paparo|Regreso en kayak",2025-12-15,10,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1583212292454-1fe6229603b7?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1535083783855-76ae62b2914e?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800&h=600&fit=crop
Paracaidismo en Valencia,"Salta desde 10,000 pies y experimenta la caída libre más emocionante de tu vida. Paracaidismo en tándem con instructores certificados internacionalmente.",250,200,20,"Salto en paracaidismo tándem con video y fotos de toda tu experiencia. Incluye entrenamiento y certificado de salto.","Aeródromo de Valencia, Carabobo",4 horas,8,18,"Salto en tándem|Instructor certificado|Video y fotos HD|Entrenamiento previo|Equipo completo|Certificado de salto","Registro y entrenamiento|Preparación del equipo|Vuelo a altitud|Salto en tándem 10,000 pies|Aterrizaje|Entrega de video",2025-12-18,6,https://images.unsplash.com/photo-1522163182402-834f871fd851?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1473496169904-658ba7c44d8a?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1519608487953-e999c86e7455?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&h=600&fit=crop
